id,salePrice,makeDate,manufacturer,model,glassThickness,OS
1994711256,212.30,08/25/2012,Alienware,VN3854B,,Android TV
1838900843,212.30,08/25/2012,Alienware,VN3854B,,Android TV
1085793438,1668.38,12/25/2016,LG,VZ2098TV,10.5,
1085793438,968.22,02/01/2016,LG,IS5100TV,,
1501815258,968.22,02/01/2016,LG,IS5100TV,,
1908038773,2453.27,04/01/2001,BenQ,CV2584IK,,Android TV
198395827,2453.27,04/01/2001,BenQ,CV2584IK,,Android TV
1238567597,1963.18,11/11/2003,AOC,MF2873VZ,10.01,
1891088168,186.23,04/25/2007,HP,VX0470TQ,,
1962289898,2107.77,03/07/2003,BenQ,DF3765HF,,
109690874,648.75,12/06/2010,Acer,WQ2398HK,11.44,
1937180916,211.45,09/25/2016,Apple,NC5583CT,,webOS
1217356715,3648.56,01/01/2003,Acer,ES0642RH,3.22,
1548026999,1466.03,01/01/2002,Planar,AW636O,,Tizen
112559202,1493.22,10/02/2017,LG,WZ6895BF,,
986703771,476.81,06/15/2004,Samsung,IV1136UX,,SmartCast
1912458314,1260.86,12/23/2020,Lenovo,UO6143L,,
829514163,2447.60,01/21/2006,NEC,XF5230JG,,webOS
997935914,628.56,02/05/2004,HP,FD1381G,,
776199782,2800.41,07/26/2013,Alienware,NW7791CP,,
392355169,614.63,04/08/2016,Alienware,VG7294RN,,Tizen
250750113,1021.36,09/01/2015,Lenovo,HQ6357FV,,
873893446,2010.66,02/07/2011,Acer,LY0648S,11.80,
759064919,607.18,01/28/2017,Dell,SM1976LE,,
396879383,187.21,04/05/2012,ViewSonic,LZ6232FH,,SmartCast
2058224287,2119.05,02/20/2012,BenQ,YT2305RB,,
1330930391,928.66,05/16/2002,NEC,PZ6549MK,,
1400649635,4605.87,04/19/2005,BenQ,WZ2150IY,,Tizen
757248942,2012.19,09/23/2006,NEC,YE6910FO,,
1084319473,74.15,01/02/2010,Samsung,Y716SE,,
491135186,2182.19,05/07/2015,Samsung,YO2277AJ,,SmartCast
343765014,1340.68,05/08/2000,Planar,XT7182VE,,
1071044513,174.65,05/09/2002,Acer,Y1XJY,1.07,
630781837,988.07,03/02/2002,HP,DR0989TO,,
232209447,405.67,06/14/2014,Asus,JJ4083WI,,
1604611287,1142.23,11/10/2003,Alienware,LC850G,,Android TV
1030750276,1473.19,01/06/2015,NEC,GJ6487W,,
350341850,153.33,07/04/2003,Lenovo,E9357CW,,
